,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
0,5269,Upcountry Hospitality in the 'Auwai Suite,7620,Lea & Pat,2009-02-09,"The 'Auwai Suite is a lovely, self-contained apartment at the back of our historic Waimea Guest House built in the 1800's. This suite is named for the 100-year-old Hawaiian irrigation canal that runs through the property. <br /><br />It has a full kitchen, dining area, beautifully tiled bathroom, bedroom with queen bed and two window seats, and a shared garden. <br /><br />This is the most popular suite in Waimea Guest House and is great for extended stays.",within an hour,100%,96%,t,Island of Hawaiʻi,6.0,"['email', 'phone']",t,t,South Kohala,Hawaii,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Garden view"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Shared backyard \u2013 Not fully fenced"", ""Luggage dropoff allowed"", ""Hot water"", ""Building staff"", ""Free street parking"", ""Kitchen"", ""Outdoor dining area"", ""Single level home"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Long term stays allowed"", ""Children\u2019s bikes"", ""Cooking basics"", ""Stove"", ""Outdoor playground"", ""Exercise equipment"", ""Fire extinguisher"", ""Babysitter recommendations"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Beach essentials"", ""Self check-in"", ""Free dryer \u2013 In building""]",$128.00,3,1125,3,1125,3.0,1125.0,8,8,8,8,40,2011-05-31,6,36,4608.0,4.78,4.88,4.55,4.95,4.85,5.0,4.85,f,0.24,119-269-5808-01R
1,5387,Hale Koa Studio & 1 Bedroom Units!!,7878,Edward,2009-02-13,"This Wonderful Spacious Studio apt/flat is in a duplex building has peaceful cottage setting on a working farm in South Kona farm belt rural area , Its elevation provides cool temperatures & amazing lush foliage with ocean and mountain view with cable TV and free wifi.<br />The rural Captain Cook/Honaunau area offers rural charm and comfort, conveniently located off HWY 11 Belt Road.",within an hour,100%,96%,f,Kailua/Kona,3.0,"['email', 'phone']",t,t,South Kona,Hawaii,Entire rental unit,Entire home/apt,2,1.0,0.0,2.0,"[""Garden view"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Courtyard view"", ""Keypad"", ""Kitchen"", ""Free parking on premises"", ""Smoke alarm"", ""Dining table"", ""Coffee maker"", ""Hair dryer"", ""Hot water kettle"", ""Mountain view"", ""Extra pillows and blankets"", ""Refrigerator"", ""Hot water"", ""Essentials"", ""Ocean view"", ""Blender"", ""Bed linens"", ""Iron"", ""Microwave"", ""Private backyard \u2013 Not fully fenced"", ""Toaster"", ""Self check-in"", ""Hangers"", ""Oven"", ""HDTV with Roku, standard cable"", ""Wine glasses"", ""Private patio or balcony""]",$97.00,5,60,5,1125,5.0,1125.0,2,22,48,250,231,2010-02-16,14,130,12610.0,4.67,4.69,4.42,4.85,4.88,4.74,4.78,t,1.26,TA-163-133-0304-01
2,5480,Isle Of You Naturally Farm Retreat,8145,Normand,2009-02-18,"The Best Choice for your Clothing Optional Nudist Retreat. Where our friendly commitment to the nude lifestyle,  encourages people to be free.  Imagine your experience here starting the day naked on the deck. Enjoying coffee,fruits,yoga,and watching the world go by.",,,0%,f,Island of Hawaiʻi,3.0,"['email', 'phone']",t,f,Puna,Hawaii,Private room in cabin,Private room,2,1.0,1.0,1.0,"[""Kitchen"", ""Host greets you"", ""Breakfast"", ""Free parking on premises""]",$117.00,2,60,2,60,2.0,60.0,30,60,90,365,0,,0,0,0.0,,,,,,,,f,,
3,5532,2BR Waialua Beach Condo w/ Saltwater Pool & Sauna,8279,Sarada,2009-02-20,"This split-level condo is right across the street from a beautiful beach that is excellent for swimming and snorkeling, surfing, long beach walks, and beautiful sunsets. Located in one of the most well-kept condo complexes in Waialua which includes a saltwater swimming pool, sauna, elevator, and on-site resident manager. Just a 5 minute ride down the bike path to Haleiwa and  a perfect place for the kids with the beachfront playground and basketball courts just a block away.",,,,f,,3.0,"['email', 'phone', 'work_email']",t,f,North Shore Oahu,Honolulu,Entire home/apt,Entire home/apt,4,,2.0,,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Shared sauna"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Mountain view"", ""Hot water"", ""Outdoor shower"", ""Free street parking"", ""Pool view"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Free dryer \u2013 In unit"", ""Elevator"", ""Dishes and silverware"", ""Lockbox"", ""Free parking on premises \u2013 1 space"", ""TV"", ""Long term stays allowed"", ""Cooking basics"", ""Stove"", ""Free washer \u2013 In unit"", ""Ceiling fan"", ""Clothing storage: closet"", ""Shared beach access"", ""Bed linens"", ""Hot water kettle"", ""Stainless steel oven"", ""Hangers"", ""Smoke alarm"", ""Self check-in"", ""Shared pool - available all year, open specific hours""]",,7,730,7,730,7.0,730.0,0,0,0,0,0,,0,0,,,,,,,,,f,,
4,7888,Pineapple House 2 Bed 1 Bath with Loft Entire Home,22083,Steven,2009-06-17,"We offer a medium term rental requiring a minimum stay of 31-days with 1-travel day included at no charge. You will be renting the entire 2-bedroom , with a loft, 1-bath home. The Pineapple House is nestled in the tropical forest on the south-east side of the Big Island. Immerse yourself in nature, environed by lush foliage, a Pineapple garden, wild Orchids, and Coconut Palms. Wake-up in the morning to a symphony of wild birds, live aloha, and enjoy the tropical pleasures this paradise offers.",within a day,100%,,f,Island of Hawaiʻi,4.0,"['email', 'phone']",t,t,Puna,Hawaii,Entire home,Entire home/apt,4,0.0,1.0,1.0,"[""Free washer \u2013 In building"", ""Free carport on premises \u2013 2 spaces"", ""Amana refrigerator"", ""Host greets you"", ""43 inch TV with Amazon Prime Video"", ""Wifi"", ""Private entrance"", ""Hot water"", ""Kitchen"", ""Bikes"", ""Toaster"", ""Single level home"", ""Iron"", ""Dishes and silverware"", ""Beach essentials"", ""Stainless steel electric stove"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Books and reading material"", ""Blender"", ""Ceiling fan"", ""Exterior security cameras on property"", ""Rice maker"", ""LG stainless steel single oven"", ""Bed linens"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Ethernet connection"", ""Coffee"", ""Free dryer \u2013 In building""]",$98.00,1,1125,1,1125,1.0,1125.0,30,60,90,269,128,2010-07-12,0,0,0.0,4.65,4.65,4.7,4.79,4.76,4.25,4.6,f,0.72,GE-104-390-7584-01
28,13932,Yurt,8145,Normand,2009-02-18,"Aloha,<br />Isle Of You Naturally is a clothing optional 70 acre private organic fruit farm and retreat.Come enjoy one of the largest naked spaces available in Hawaii.<br />For the well seasoned nudists or for those that would like to try it .<br />Mahalo",,,0%,f,Island of Hawaiʻi,3.0,"['email', 'phone']",t,f,Puna,Hawaii,Private room in hut,Private room,2,1.0,1.0,1.0,"[""Essentials"", ""Hot water"", ""Free parking on premises"", ""Fire extinguisher"", ""Shampoo"", ""Host greets you"", ""Private entrance""]",$106.00,3,365,3,365,3.0,365.0,30,60,90,365,0,,0,0,0.0,,,,,,,,f,,
65,395965,The Perfect Naturist Hideaway Cabin,8145,Normand,2009-02-18,"Aloha,  Our cabin sits on 70 acres of lush green land and farm.  The cabin is about 100 feet away from the main house, but feels like it's in its own little private world!  Full kitchen, studio unit, with lanai (deck), and access to the lawn chairs and the rest of the farm.  The bathroom is off the lanai and shared with 2-3 other possible guests.",,,0%,f,Island of Hawaiʻi,3.0,"['email', 'phone']",t,f,Puna,Hawaii,Private room in cottage,Private room,2,1.0,1.0,1.0,"[""Hot water"", ""Essentials"", ""Fire extinguisher"", ""Private entrance"", ""Smoking allowed"", ""Breakfast"", ""Kitchen"", ""Host greets you"", ""Free parking on premises"", ""Shampoo""]",$123.00,1,365,1,365,1.0,365.0,30,60,90,365,0,,0,0,0.0,,,,,,,,f,,
420,1466642,Hale Koa Duplex,7878,Edward,2009-02-13,"This Wonderful Spacious house-like One Bedroom apt/flat is in a duplex building has peaceful cottage setting on a working farm in South Kona farm belt rural area , Its elevation provides cool temperatures & amazing, lush foliage with ocean and mountain view with cable TV and free wifi.<br />The rural Captain Cook/Honaunau area offers rural South Kona charm and comfort, It's conveniently located off HWY 11 Belt Road.",within an hour,100%,96%,f,Kailua/Kona,3.0,"['email', 'phone']",t,t,South Kona,Hawaii,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Coffee maker: drip coffee maker"", ""Clothing storage: closet, wardrobe, and dresser"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Garden view"", ""Dining table"", ""Valley view"", ""Outdoor furniture"", ""Wifi"", ""Housekeeping - available at extra cost"", ""Private entrance"", ""Refrigerator"", ""Sea view"", ""Essentials"", ""Wine glasses"", ""Mountain view"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Toaster"", ""Outdoor dining area"", ""Body soap"", ""Microwave"", ""Ocean view"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""TV with standard cable"", ""Oven"", ""Cooking basics"", ""Bay view"", ""Dedicated workspace"", ""Stove"", ""Private backyard \u2013 Not fully fenced"", ""Blender"", ""Courtyard view"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm""]",$109.00,5,60,5,1125,5.0,1125.0,10,29,50,283,100,2014-07-03,7,70,7630.0,4.4,4.6,4.41,4.83,4.78,4.62,4.55,t,0.77,TA-163-133-0304-01
788,3343852,BEAUTIFUL CONDO STEPS FROM BEACH,16877044,Steven,2014-06-16,"Welcome to our beautiful condo in popular south Maui at the Kihei Akahi Resort!  Our condo has had  a major remodel and EVERYTHING was updated.  Within minutes to beautiful beaches, restaurants and shopping.  You won't be disappointed.",within an hour,100%,92%,f,Kihei/Wailea,2.0,"['email', 'phone']",t,t,Kihei-Makena,Maui,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Keypad"", ""Air conditioning"", ""Shampoo"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$263.00,2,1125,2,1125,2.0,1125.0,4,7,25,253,153,2015-10-06,16,90,23670.0,4.91,4.93,4.95,4.87,4.92,4.97,4.9,f,1.33,"390200010034, TA-167-307-0592-01"
1317,7514166,"Mahalo Aina Sanctuary, Banyan Room",39366616,Steven,2015-07-23,"Elegant whimsical and comfortable, our land is filled with orchards, gardens, jungle, walking paths, waterfalls and horses. Powered by the sun, we host events with local and world renowned practitioners of music, dance, yoga, healing and horses.",within a few hours,100%,78%,f,,3.0,"['email', 'phone']",t,t,North Hilo,Hawaii,Private room in farm stay,Private room,2,3.5,1.0,1.0,"[""Coffee maker"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Pets allowed"", ""Shared gym in building"", ""Dishwasher"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Breakfast"", ""Kitchen"", ""Lock on bedroom door"", ""Children\u2019s dinnerware"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""TV with standard cable"", ""Oven"", ""Children\u2019s books and toys"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Keypad"", ""Stove"", ""Fire extinguisher"", ""Exercise equipment"", ""Shampoo"", ""Backyard"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Beach essentials"", ""Self check-in"", ""Free dryer \u2013 In building""]",$176.00,1,1125,1,1125,1.0,1125.0,1,5,35,310,20,2017-02-23,2,12,2112.0,5.0,5.0,5.0,5.0,5.0,4.95,5.0,f,0.2,TA-171-666-7392-01
