,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
4,7888,Pineapple House 2 Bed 1 Bath with Loft Entire Home,22083,Steven,2009-06-17,"We offer a medium term rental requiring a minimum stay of 31-days with 1-travel day included at no charge. You will be renting the entire 2-bedroom , with a loft, 1-bath home. The Pineapple House is nestled in the tropical forest on the south-east side of the Big Island. Immerse yourself in nature, environed by lush foliage, a Pineapple garden, wild Orchids, and Coconut Palms. Wake-up in the morning to a symphony of wild birds, live aloha, and enjoy the tropical pleasures this paradise offers.",within a day,100%,,f,Island of Hawaiʻi,4.0,"['email', 'phone']",t,t,Puna,Hawaii,Entire home,Entire home/apt,4,0.0,1.0,1.0,"[""Free washer \u2013 In building"", ""Free carport on premises \u2013 2 spaces"", ""Amana refrigerator"", ""Host greets you"", ""43 inch TV with Amazon Prime Video"", ""Wifi"", ""Private entrance"", ""Hot water"", ""Kitchen"", ""Bikes"", ""Toaster"", ""Single level home"", ""Iron"", ""Dishes and silverware"", ""Beach essentials"", ""Stainless steel electric stove"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Books and reading material"", ""Blender"", ""Ceiling fan"", ""Exterior security cameras on property"", ""Rice maker"", ""LG stainless steel single oven"", ""Bed linens"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Ethernet connection"", ""Coffee"", ""Free dryer \u2013 In building""]",$98.00,1,1125,1,1125,1.0,1125.0,30,60,90,269,128,2010-07-12,0,0,0.0,4.65,4.65,4.7,4.79,4.76,4.25,4.6,f,0.72,GE-104-390-7584-01
9,220361,Stunning  Loft with 35 ft deck,855180,Jill Leilani,2011-07-22,,within a day,100%,,f,Kaimuki,2.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire home,Entire home/apt,2,1.0,1.0,1.0,"[""TV with standard cable"", ""Washer"", ""Free parking on premises"", ""Kitchen"", ""Dryer"", ""Wifi"", ""Hot tub""]",$175.00,30,365,30,365,30.0,365.0,30,60,90,365,37,2011-10-11,0,0,0.0,4.45,4.36,3.86,4.78,4.61,4.69,4.42,f,0.23,
10,222203,Ka'awa Loa Plantation Guesthouse,158713,Michael,2010-07-05,Ka'awa Loa Plantation is a Bed and Breakfast and small farm focused on coffee and a great variety of tropical fruits.  We're located directly above Kealakekua Bay in the heart of South Kona Coffee Country on the Big Island of Hawaii.<br /><br />Hawaii TA Tax # TA-115-074-2528-01,within a day,100%,81%,t,Kailua/Kona,3.0,"['email', 'phone']",t,t,South Kona,Hawaii,Private room in guesthouse,Private room,2,1.0,1.0,1.0,"[""Dryer"", ""Essentials"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Wifi"", ""Hot tub"", ""Breakfast"", ""Kitchen"", ""First aid kit"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Smoke alarm"", ""Washer""]",$166.00,1,760,1,760,1.0,760.0,6,6,6,6,82,2014-05-28,3,18,2988.0,4.99,5.0,4.98,4.98,4.94,4.95,4.95,f,0.62,W53837696-01
53,23814,HawaiianJungleHangout,94828,Liz,2010-03-17,"Make this hawaiian home, bordering serene Makuu Homestead, surrounded by a natural lava rainforest your special retreat.<br /><br />Three miles from the ocean, and a mile from the main highway, Hawaiian Jungle Hangout offers easy access to eastside highlights--40 minutes from Pohoiki bay (black sand beach with warm springs/part of the 870 acres added from 2018 fissure 8 lava flow), 35 minutes from Volcano National Park, 20 minutes from Hilo airport, 10 minutes from Keaau town, and 10 minutes from Pahoa.",within a day,100%,88%,t,Island of Hawaiʻi,2.0,['phone'],t,t,Puna,Hawaii,Entire home,Entire home/apt,4,1.0,2.0,4.0,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Patio or balcony"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Hangers"", ""Dryer""]",$95.00,3,15,2,15,3.0,15.0,11,28,50,316,459,2010-07-13,32,150,14250.0,4.75,4.82,4.57,4.88,4.83,4.67,4.85,f,2.57,
54,24119,Hawaiian Jungle Hut,94828,Liz,2010-03-17,"Rustic and colorful, the Hawaiian Jungle Hut is perfect for a couple or single guest who need a home base while exploring the island. Having it's own full bathroom, living room, inside washer and dryer, and kitchenette with tiki bar.  The hut is also wireless and cable connected.  There is a shared local phone and stove top (no oven). <br />  Make this hawaiian ohana, bordering serene Makuu Homestead, surrounded by a natural lava rainforest your special retreat.",within a day,100%,88%,t,Island of Hawaiʻi,2.0,['phone'],t,t,Puna,Hawaii,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Dryer"", ""Hot water"", ""Essentials"", ""Hangers"", ""Wifi"", ""Cooking basics"", ""Coffee maker"", ""Private entrance"", ""Dishes and silverware"", ""Hair dryer"", ""Backyard"", ""Iron"", ""TV with standard cable"", ""Microwave"", ""Refrigerator"", ""Free parking on premises"", ""Smoke alarm"", ""Washer""]",$56.00,3,10,3,10,3.0,10.0,29,47,67,342,207,2010-04-18,3,42,2352.0,4.66,4.78,4.55,4.81,4.81,4.5,4.77,f,1.14,
56,36789,Ka awa Loa Plantation Guesthouse,158713,Michael,2010-07-05,Hawaii TA Tax #:  TA-115-074-2528-01<br /><br />Ka'awa Loa Plantation is a Bed and Breakfast and small farm focused on coffee and a great variety of tropical fruits.  We're located directly above Kealakekua Bay in the heart of South Kona Coffee Country on the Big Island of Hawaii.,within a day,100%,81%,t,Kailua/Kona,3.0,"['email', 'phone']",t,t,South Kona,Hawaii,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,"[""Coffee maker"", ""Wifi"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Indoor fireplace"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Washer"", ""First aid kit"", ""Cooking basics"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Backyard"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Smoke alarm"", ""Dryer"", ""Breakfast""]",$143.00,1,30,1,30,1.1,27.4,22,38,38,38,361,2010-12-26,6,30,4290.0,4.98,4.97,4.98,4.96,4.94,4.95,4.96,f,2.09,W53837696-01
107,87671,Perfect North Shore Location-World Famous Beach!,328451,Samuel,2010-12-27,"Talk about PARADISE!?!?!  Reviews after 20 years of renting our home say it all, this is all you asked for: paradise, tropical, beach! Would you like to experience warm, tropical beauty in one of the most gorgeous and remote places on Earth? We have what you have been dreaming about your entire life…A place to enjoy, relax and create lifelong memories, a place to LIVE ALOHA…<br /><br />* If you'd like to come, we suggest trying us at,  Ate cero ate, too won ate, won phive cease ate.<br /><br />Mahalo & c u soon",within a day,60%,0%,f,,4.0,"['email', 'phone', 'work_email']",t,t,North Shore Oahu,Honolulu,Entire home,Entire home/apt,4,1.0,2.0,3.0,"[""Crib"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Kitchen"", ""Luggage dropoff allowed"", ""Babysitter recommendations"", ""Dining table"", ""Changing table"", ""Window guards"", ""Outdoor dining area"", ""Hair dryer"", ""Children\u2019s dinnerware"", ""Sun loungers"", ""Mini fridge"", ""Rice maker"", ""Pack \u2019n play/Travel crib"", ""Bathtub"", ""Iron"", ""Freezer"", ""Hawaiian body soap"", ""Portable fans"", ""Clothing storage: walk-in closet"", ""Panasonic Bluetooth sound system"", ""Standalone high chair - available upon request"", ""First aid kit"", ""Wine glasses"", ""Shampoo"", ""Private entrance"", ""Free parking on premises"", ""Smoke alarm"", ""Safe"", ""Hot water kettle"", ""Mountain view"", ""Pets allowed"", ""Bidet"", ""Ocean view"", ""Outlet covers"", ""Blender"", ""Ethernet connection"", ""Outdoor furniture"", ""Cleaning available during stay"", ""Cleaning products"", ""Exercise equipment"", ""Private backyard \u2013 Fully fenced"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Dedicated workspace"", ""Keypad"", ""Dishes and silverware"", ""Ping pong table"", ""Exterior security cameras on property"", ""Shower gel"", ""Coffee maker"", ""55 inch HDTV with Amazon Prime Video, Disney+, Hulu, standard cable"", ""Board games"", ""Hot water"", ""Free street parking"", ""Outdoor shower"", ""Bed linens"", ""Barbecue utensils"", ""Toaster"", ""Self check-in"", ""Hangers"", ""Books and reading material"", ""Game console"", ""Skate ramp"", ""Oven"", ""Single level home"", ""Outdoor playground"", ""Private patio or balcony"", ""Cooking basics"", ""BBQ grill"", ""Arcade games"", ""Kenmore electric stove"", ""Fire extinguisher"", ""Waterfront"", ""Long term stays allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Beach essentials"", ""Essentials"", ""Carbon monoxide alarm"", ""Hawaiian conditioner"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Coffee"", ""Bread maker"", ""Children's playroom"", ""Ceiling fan""]",$225.00,30,365,11,365,29.2,365.0,11,30,46,274,52,2011-09-24,0,0,0.0,4.61,4.76,4.45,4.8,4.65,4.88,4.43,f,0.32,"159004058000, TA-199-012-1472-01"
115,91091,Westin Kauai Princeville Ocean Resort Villas-1BR,492687,Tony,2011-04-07,,within a day,100%,,f,Kauaʻi,3.0,"['email', 'phone']",t,t,North Shore Kauai,Kauai,Private room in resort,Private room,4,1.0,1.0,2.0,"[""Heating"", ""Hair dryer"", ""Pool"", ""Wifi"", ""Hot tub"", ""Paid parking on premises"", ""Pack \u2019n play/Travel crib"", ""Essentials"", ""Luggage dropoff allowed"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Elevator"", ""Iron"", ""TV with standard cable"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Shampoo"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Self check-in""]",$750.00,4,14,4,14,4.0,14.0,30,60,90,365,8,2011-05-31,0,0,0.0,5.0,4.88,5.0,5.0,4.88,5.0,5.0,f,0.05,"540050190000, TA-139-329-5360-01"
116,102918,Westin Maui Kaanapali Ocean Resort Villas-1BR,492687,Tony,2011-04-07,"NOTE: Please send me a message to confirm availability BEFORE submitting a booking request!!!  <br /><br />==<br /><br />Great way to do Hawaii - all the amenities of a hotel with the comforts of home. Below is the stock description from Westin, but this property is basically like a hotel, complete with check-in desk, concierge, pools, room service, etc. Comfortably sleeps 4. This resort also sits right on the beach so you can walk right outside and into the water - Great sunset views on the beach!",within a day,100%,,f,Kauaʻi,3.0,"['email', 'phone']",t,t,Lahaina,Maui,Room in boutique hotel,Private room,4,1.0,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Pool"", ""Wifi"", ""Hot tub"", ""Paid parking on premises"", ""Pack \u2019n play/Travel crib"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Luggage dropoff allowed"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Elevator"", ""Iron"", ""TV with standard cable"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Shampoo"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Self check-in""]",$757.00,4,14,4,14,4.0,14.0,30,60,90,269,21,2011-08-30,0,0,0.0,4.86,4.6,4.85,4.8,4.85,4.85,4.4,f,0.13,"440140030000, TA-139-329-5360-01"
146,174078,"7 nights in Maui, Hawaii @ Ka'anapali Beach Club",831472,Ye,2011-07-17,"One bedroom ocean view suite approx. 820 sq ft. Accommodates up to 5 incl. 4 adults. Central AC, underground parking, swimming pools, self service laundry, kitchenette, Wifi.",within a day,100%,,f,Kaanapali,1.0,"['email', 'phone', 'work_email']",t,t,Lahaina,Maui,Private room in resort,Private room,4,1.0,1.0,3.0,"[""Coffee maker"", ""Hair dryer"", ""Bathtub"", ""Garden view"", ""Dining table"", ""Dishwasher"", ""Shower gel"", ""Wifi"", ""BBQ grill"", ""Shared pool"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Sea view"", ""Resort view"", ""Essentials"", ""Hot water"", ""Beach access \u2013 Beachfront"", ""Luggage dropoff allowed"", ""Shared hot tub"", ""Building staff"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Ocean view"", ""Private living room"", ""Beach view"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Waterfront"", ""Cooking basics"", ""Dedicated workspace"", ""Resort access"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Backyard"", ""Courtyard view"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Room-darkening shades"", ""Self check-in""]",$396.00,7,7,7,7,7.0,7.0,24,54,84,358,8,2015-02-04,1,14,5544.0,4.88,4.75,5.0,4.88,5.0,5.0,4.88,f,0.07,Exempt
