,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
0,5269,Upcountry Hospitality in the 'Auwai Suite,7620,Lea & Pat,2009-02-09,"The 'Auwai Suite is a lovely, self-contained apartment at the back of our historic Waimea Guest House built in the 1800's. This suite is named for the 100-year-old Hawaiian irrigation canal that runs through the property. <br /><br />It has a full kitchen, dining area, beautifully tiled bathroom, bedroom with queen bed and two window seats, and a shared garden. <br /><br />This is the most popular suite in Waimea Guest House and is great for extended stays.",within an hour,100%,96%,t,Island of Hawaiʻi,6.0,"['email', 'phone']",t,t,South Kohala,Hawaii,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Garden view"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Shared backyard \u2013 Not fully fenced"", ""Luggage dropoff allowed"", ""Hot water"", ""Building staff"", ""Free street parking"", ""Kitchen"", ""Outdoor dining area"", ""Single level home"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Long term stays allowed"", ""Children\u2019s bikes"", ""Cooking basics"", ""Stove"", ""Outdoor playground"", ""Exercise equipment"", ""Fire extinguisher"", ""Babysitter recommendations"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Beach essentials"", ""Self check-in"", ""Free dryer \u2013 In building""]",$128.00,3,1125,3,1125,3.0,1125.0,8,8,8,8,40,2011-05-31,6,36,4608.0,4.78,4.88,4.55,4.95,4.85,5.0,4.85,f,0.24,119-269-5808-01R
200,860378,STHA 2017/0002 TA-061-740-4416-01 Hana Maui Hawaii,165526166,Emalia,2018-01-03,"STHA 2017/0002 & TA-061-740-4416-01. The Fisher's Hana Hale is located across the street and within walking distance from Hana Bay and Waikoloa Beach. Just a short distance down the road is Waianapanapa State Park, Red Sand Beach, Koki and Hamoa beaches. The Upstairs unit features one bedroom and one bathroom, full kitchen, living area, screened in lanai with ping pong table, wireless Internet and basic cable TV. For larger parties you can add the downstairs for extra space. Come enjoy Hana!",within an hour,100%,100%,t,,12.0,"['email', 'phone', 'work_email']",t,f,Hana,Maui,Entire home,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker: drip coffee maker"", ""Hair dryer"", ""Garden view"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Hot water"", ""Kitchen"", ""Outdoor dining area"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Backyard"", ""Shampoo"", ""Keypad"", ""Pack \u2019n play/Travel crib - available upon request"", ""Free dryer"", ""Bed linens"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Free driveway parking on premises \u2013 1 space"", ""Self check-in""]",$177.00,1,1125,1,1125,1.0,1125.0,1,2,7,146,395,2013-08-30,57,255,45135.0,4.8,4.89,4.81,4.94,4.9,4.91,4.66,t,2.82,"214014016000, TA-061-740-4416-01"
400,1381735,"Bright & Airy- A/C, Full Kitchen, W/D",1378424,Lanya,2011-11-06,"Spacious studio with bedroom loft in top story condo w/ balcony. Full Kitchen, full bath, laundry, super comfy King size bed (and queen sofa bed) and large bathroom. Easy access to all beaches and island adventures and still walking distance from Princeville shops. Perfect location for quiet evenings & convenient for all island activities. Caring host provides island guide and local knowledge. This is the perfect home base for your Kauai explorations.",within an hour,100%,97%,t,Kauaʻi,4.0,"['email', 'phone', 'work_email']",t,t,North Shore Kauai,Kauai,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Drying rack for clothing"", ""Garden view"", ""Natural oatmeal  body soap"", ""Wifi"", ""Cooking basics"", ""Whirlpool electric stove"", ""Private entrance"", ""Dishes and silverware"", ""Courtyard view"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Luggage dropoff allowed"", ""Resort view"", ""Shower gel"", ""Smoke alarm"", ""Dining table"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""BBQ grill: gas"", ""Fire extinguisher"", ""Sea view"", ""Outdoor dining area"", ""Hair dryer"", ""Hot water kettle"", ""Mountain view"", ""Extra pillows and blankets"", ""Refrigerator"", ""Sun loungers"", ""Exercise equipment: free weights, yoga mat"", ""Lockbox"", ""Board games"", ""Rice maker"", ""Hot water"", ""Essentials"", ""Dishwasher"", ""Beach essentials"", ""Ocean view"", ""Outdoor shower"", ""Blender"", ""Bed linens"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Iron"", ""Ethernet connection"", ""Freezer"", ""Single oven"", ""Pool view"", ""Microwave"", ""Barbecue utensils"", ""Outdoor furniture"", ""Shared outdoor pool - available all year, open specific hours"", ""Toaster"", ""Golf course view"", ""Self check-in"", ""Cleaning products"", ""Hangers"", ""HDTV with Netflix, Roku"", ""Books and reading material"", ""Portable fans"", ""Free parking on premises \u2013 1 space"", ""Shared beach access"", ""Coffee"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Shared backyard \u2013 Not fully fenced"", ""Ceiling fan"", ""Wine glasses"", ""Shampoo"", ""Private patio or balcony"", ""Central air conditioning""]",$260.00,2,30,2,1125,2.0,1125.0,2,5,23,64,335,2013-10-14,41,222,57720.0,4.92,4.94,4.93,4.96,4.98,4.87,4.85,f,2.41,"540050030024, TA-196-744-3968-01"
600,2900218,Stunning central Honolulu penthouse (30 days+),14807311,Frederick,2014-04-27,"Stunning duplex luxury penthouse in central Honolulu, with views across city and mountains. Secure, high-end, quiet family building with pool, hot tub, BBQ, gym and garage. Private elevator lobby direct from garage. Doorman 24/7. 10 mins to Waikiki. 30 night minimum stay requirement due to local law. No discounts.",within a day,100%,0%,f,McCully/Moiliili,5.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire condo,Entire home/apt,6,3.5,3.0,5.0,"[""Coffee maker"", ""Heating"", ""Bathtub"", ""Dishwasher"", ""Host greets you"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Shared pool"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Shared hot tub"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Shared backyard \u2013 Fully fenced"", ""First aid kit"", ""Cooking basics"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Exterior security cameras on property"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Room-darkening shades""]",$550.00,30,1125,30,1125,30.0,1125.0,28,58,88,363,1,2015-01-10,0,0,0.0,4.0,5.0,5.0,2.0,5.0,4.0,4.0,f,0.01,
800,3386000,Waikiki Modern Studio Free Parking On Site 日本語,2783824,Ssen,2012-06-29,"　　　　     ★★★★★FREE PARKING ON SITE★★★★★<br />                                                  <br />                                                                   <br />　Cozy & well situated CONTEMPORARY RENOVATED WAIKIKI STUDIO!!! Experience a true vacation in Paradise- easy access to beaches, Convention Center, Ala Moana Shopping Mall Japan Village Walk, Hilton Hawaiian Village, restaurants & the Kalakua Avenue, main strip of Waikiki.  Perfect for 2 people or a family of 3. Free WIFI.  POOL IS READY!!!",within an hour,90%,99%,,Waikiki,12.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire condo,Entire home/apt,3,1.0,0.0,2.0,"[""Coffee maker"", ""Pantene conditioner"", ""Freezer"", ""Sun loungers"", ""Hair dryer"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Shared pool"", ""Paid parking on premises"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Wine glasses"", ""Hot water"", ""Building staff"", ""Outdoor shower"", ""Free street parking"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Microwave"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Elevator"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""TV with standard cable"", ""Olay body soap"", ""Washer"", ""Crib"", ""Beach essentials"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Shampoo"", ""Free resort access"", ""Clothing storage: closet"", ""Rice maker"", ""Bed linens"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Hot water kettle"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Laundromat nearby"", ""Dryer"", ""Paid parking garage off premises"", ""Coffee"", ""Self check-in""]",$165.00,1,1125,1,1125,1.0,1125.0,15,21,51,314,376,2014-07-03,31,168,27720.0,4.87,4.87,4.93,4.83,4.94,4.87,4.8,t,2.89,"260070260118, 1404, TA-096-462-2336-01"
1000,5307830,Hale Aloha: 4Br/3Ba View w/ Van - Next to Waikiki,24671259,Glen,2014-12-09,"Stunning ocean & Waikiki views from this 4BR/3BA hillside cottage! Near beaches, dining, & shops. Well-maintained, AC, W/D, perfect for families/groups. We respond quickly! Enjoy breathtaking sunsets. Book your unforgettable Hawaiian escape today!",within an hour,88%,100%,t,Diamond Head/Kapahulu/St. Louis Heights,8.0,"['email', 'phone', 'work_email']",t,t,Primary Urban Center,Honolulu,Entire townhouse,Entire home/apt,10,3.0,4.0,16.0,"[""Sound system"", ""Pets allowed"", ""Safe"", ""Dining table"", ""Board games"", ""Shower gel"", ""Cleaning available during stay"", ""Baby safety gates"", ""Mosquito net"", ""Toaster"", ""Microwave"", ""Kayak"", ""High chair"", ""Clothing storage"", ""Table corner guards"", ""Cooking basics"", ""Bay view"", ""Dedicated workspace"", ""Baking sheet"", ""Private hot tub"", ""Rice maker"", ""Extra pillows and blankets"", ""Mini fridge"", ""Hot water kettle"", ""Smoke alarm"", ""Ethernet connection"", ""Hammock"", ""Coffee maker"", ""Baby monitor"", ""Bread maker"", ""Pack \u2019n play/Travel crib"", ""Luggage dropoff allowed"", ""Canal view"", ""Hot water"", ""Cleaning products"", ""Single level home"", ""Children\u2019s dinnerware"", ""Iron"", ""Private patio or balcony"", ""TV with standard cable"", ""Oven"", ""Long term stays allowed"", ""Stove"", ""Fire extinguisher"", ""Ceiling fan"", ""Bed linens"", ""Carbon monoxide alarm"", ""Fire pit"", ""River view"", ""Portable fans"", ""Dryer"", ""Laundromat nearby"", ""Coffee"", ""Beach essentials"", ""Self check-in"", ""Changing table"", ""Freezer"", ""Hair dryer"", ""BBQ grill"", ""Private entrance"", ""Essentials"", ""Barbecue utensils"", ""Free street parking"", ""Bikes"", ""Outdoor dining area"", ""Drying rack for clothing"", ""Ocean view"", ""Window guards"", ""Beach view"", ""Dishes and silverware"", ""Outlet covers"", ""Children\u2019s books and toys"", ""First aid kit"", ""Air conditioning"", ""Babysitter recommendations"", ""Free parking on premises"", ""Hangers"", ""Gym"", ""Harbor view"", ""Room-darkening shades"", ""Heating"", ""Conditioner"", ""Bathtub"", ""Garden view"", ""Dishwasher"", ""Pool"", ""Outdoor furniture"", ""Wifi"", ""Golf course view"", ""Refrigerator"", ""Sea view"", ""Resort view"", ""Wine glasses"", ""Mountain view"", ""Marina view"", ""Kitchen"", ""Body soap"", ""Smart lock"", ""Washer"", ""Baby bath"", ""Books and reading material"", ""Exercise equipment"", ""Shampoo"", ""Blender"", ""Exterior security cameras on property"", ""Private backyard \u2013 Fully fenced"", ""Fireplace guards"", ""City skyline view"", ""Game console""]",$241.00,30,365,30,365,30.0,365.0,29,37,67,183,47,2017-09-27,2,60,14460.0,4.81,4.7,4.68,4.87,4.87,4.94,4.64,f,0.52,GE-007-362-3552-01
1200,6820221,Puna Rainforest Hotspring Estate,25115999,Jacklynn,2014-12-22,"Private ocean view estate offering lavish accommodations. This exclusive 20-acre property features a main house and four cottages. Surrounded by a lush rainforest, meadow and orchard. Abundant avocado, banana and citrus trees. Enjoy the swimming pool, volcanic hot spring tubs, and a private 1.2-mile nature trail. Near various attractions and only 4 miles from Pahoa town, you will have the entire property to yourself. The owner is present on-site and can assist if required. TA-008-365-8240-01",within an hour,100%,100%,t,Island of Hawaiʻi,6.0,"['email', 'phone', 'work_email']",t,t,Puna,Hawaii,Entire home,Entire home/apt,16,7.5,10.0,11.0,"[""Coffee maker"", ""Hair dryer"", ""Bathtub"", ""Garden view"", ""Dishwasher"", ""Wifi"", ""BBQ grill"", ""Shared pool"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Shared backyard \u2013 Not fully fenced"", ""Luggage dropoff allowed"", ""Hot water"", ""Baby safety gates"", ""Building staff"", ""Shared hot tub"", ""Indoor fireplace"", ""Kitchen"", ""Microwave"", ""Ocean view"", ""High chair"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""Crib"", ""Washer"", ""Oven"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Stove"", ""Fire extinguisher"", ""Shampoo"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Smoking allowed"", ""Beach essentials"", ""Room-darkening shades"", ""Self check-in""]","$1,700.00",2,14,2,14,2.0,14.0,0,1,1,124,53,2016-02-20,5,36,61200.0,4.96,4.92,4.96,5.0,4.98,4.94,4.89,f,0.48,
1400,8130280,Corner Condo 1BR Oceanfront | Balcony,42618840,Vacasa Kauai,2015-08-26,,within an hour,100%,100%,f,Poipu,32.0,"['email', 'phone', 'work_email']",t,t,Koloa-Poipu,Kauai,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Waterfront"", ""First aid kit"", ""Dedicated workspace"", ""Stove"", ""Fire extinguisher"", ""Backyard"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Self check-in""]",$296.00,2,1125,2,1125,2.9,469.3,23,53,79,354,176,2016-06-28,14,90,26640.0,4.73,4.73,4.69,4.76,4.75,4.8,4.55,t,1.66,"260050140020, TA-179-123-2000-01"
1600,9050504,Spacious lanai and open-concept oceanfront condo,113441705,Matthew,2017-01-26,"Noelani 215 offers stunning panoramic oceanfront views with high-end tropical interior décor. The spacious and well-appointed one bedroom, one bathroom condo offers split A/C and all the luxuries you would want at your home away from home.",within an hour,96%,99%,f,Napili/Honokowai,401.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Free street parking"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Waterfront"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Shampoo"", ""Ceiling fan"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer""]",$377.00,3,365,3,365,3.6,365.0,0,0,0,0,43,2021-01-01,10,66,24882.0,4.88,4.93,4.91,4.74,4.84,4.93,4.79,t,0.84,"430090020046, TA-033-113-0368-01"
1800,10548991,Jubilee By The Sea (Ocean Views),54391530,Nate,2016-01-12,"Take a break from it all and spoil the whole family with an unforgettable getaway to this home away from home mere blocks from the blue waters of the ocean! With a wonderfully furnished wraparound deck boasting partial ocean views to sip favorite cocktails on and a spacious layout perfect for large families or groups of friends, there will be no delay in feeling right at home in no time.",within an hour,100%,87%,t,,3.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire home,Entire home/apt,11,2.0,4.0,4.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Baby safety gates"", ""Barbecue utensils"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Lockbox"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Backyard"", ""Baking sheet"", ""Bed linens"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Beach essentials"", ""Self check-in""]",$480.00,2,28,1,28,2.1,28.0,11,36,59,291,83,2016-08-10,10,90,43200.0,4.9,4.94,4.96,4.96,4.98,4.84,4.83,f,0.79,STVR-19-361724
